N     C            s(J)  t(P/D) u(AEAO)  v(Z)
1    +0.00880496   0     0      0        0      
2    -0.204554     1     0      0        0      
3    +0.166351     0     1      0        0      
4    +0.158114     0     2      0        0      
5    -0.147581     2     0      1        0      
6    -0.481497     1     1      1        0      
7    +0.415437     0     2      1        0      
8    +0.0144043    0     0      0        1      
9    -0.0530054    2     0      0        1      
10   +0.0143481    0     1      0        1      
11   +0.0606826    1     1      0        1      
12   -0.0125894    0     0      1        1      
13   +0.0109689    1     0      1        1      
14   -0.133698     0     3      0        0      
15   +0.00638407   0     6      0        0      
16   -0.00132718   2     6      0        0      
17   +0.168496     3     0      1        0      
18   -0.0507214    0     0      2        0      
19   +0.0854559    2     0      2        0      
20   -0.0504475    3     0      2        0      
21   +0.010465     1     6      2        0      
22   -0.00648272   2     6      2        0      
23   -0.00841728   0     3      0        1      
24   +0.0168424    1     3      0        1      
25   -0.00102296   3     3      0        1      
26   -0.0317791    0     3      1        1      
27   +0.018604     1     0      2        1      
28   -0.00410798   0     2      2        1      
29   -0.000606848  0     0      0        2      
30   -0.0049819    1     0      0        2      
31   +0.0025983    2     0      0        2      
32   -0.000560528  3     0      0        2      
33   -0.00163652   1     2      0        2      
34   -0.000328787  1     6      0        2      
35   +0.000116502  2     6      0        2      
36   +0.000690904  0     0      1        2      
37   +0.00421749   0     3      1        2      
38   +0.0000565229 3     6      1        2      
39   -0.00146564   0     3      2        2      
    






