xc   ycc    dycdxc 
0      0               
0.5    0.281   0.47539 
0.75   0.396   0.44004 
1.25   0.603   0.39531 
2.5    1.055   0.33404 
5.0    1.803   0.27149 
7.5    2.432   0.23378 
10     2.981   0.20618 
15     3.903   0.16546 
20     4.651   0.13452 
25     5.257   0.10873 
30     5.742   0.08595 
35     6.120   0.06498 
40     6.394   0.04507 
45     6.571   0.02559 
50     6.651   0.00607 
55     6.631  -0.01404 
60     6.508  -0.03537 
65     6.274  -0.05887 
70     5.913  -0.08610 
75     5.401  -0.12058 
80     4.673  -0.18034 
85     3.607  -0.23430 
90     2.452  -0.24521 
95     1.226  -0.24521 
100    0      -0.24521 
