xc   ycc    dycdxc 
0     0
0.5   0.250    0.42120
0.75  0.350    0.38875
1.25  0.535    0.34770
2.5   0.930    0.29155
5.0   1.580    0.23430
7.5   2.120    0.19995
10    2.585    0.17485
15    3.365    0.13805
20    3.980    0.11030
25    4.475    0.08745
30    4.860    0.06745
35    5.150    0.04925
40    5.355    0.03225
45    5.475    0.01595
50    5.515    0 
55    5.475   -0.01595
60    5.355   -0.03225
65    5.150   -0.04925
70    4.860   -0.06745
75    4.475   -0.08745
80    3.980   -0.11030
85    3.365   -0.13805
90    2.585   -0.17485
95    1.580   -0.23430
100   0       
