N     C             s(J)  t(P/D) u(AEAO)  v(Z)
 1    +0.00379368   0     0      0        0
 2    +0.00886523   2     0      0        0
 3    -0.032241     1     1      0        0
 4    +0.00344778   0     2      0        0
 5    -0.0408811    0     1      1        0
 6    -0.108009     1     1      1        0
 7    -0.0885381    2     1      1        0
 8    +0.188561     0     2      1        0
 9    -0.00370871   1     0      0        1
 10   +0.00513696   0     1      0        1
 11   +0.0209449    1     1      0        1
 12   +0.00474319   2     1      0        1
 13   -0.00723408   2     0      1        1
 14   +0.00438388   1     1      1        1
 15   -0.0269403    0     2      1        1
 16   +0.0558082    3     0      1        0
 17   +0.0161886    0     3      1        0
 18   +0.00318086   1     3      1        0
 19   +0.015896     0     0      2        0
 20   +0.0471729    1     0      2        0
 21   +0.0196283    3     0      2        0
 22   -0.0502782    0     1      2        0
 23   -0.030055     3     1      2        0
 24   +0.0417122    2     2      2        0
 25   -0.0397722    0     3      2        0
 26   -0.00350024   0     6      2        0
 27   -0.0106854    3     0      0        1
 28   +0.00110903   3     3      0        1
 29   -0.000313912  0     6      0        1
 30   +0.0035985    3     0      1        1
 31   -0.00142121   0     6      1        1
 32   -0.00383637   1     0      2        1
 33   +0.0126803    0     2      2        1
 34   -0.00318278   2     3      2        1
 35   +0.00334268   0     6      2        1
 36   -0.00183491   1     1      0        2
 37   +0.000112451  3     2      0        2
 38   -0.0000297228 3     6      0        2
 39   +0.000269551  1     0      1        2
 40   +0.00083265   2     0      1        2   
 41   +0.00155334   0     2      1        2
 42   +0.000302683  0     6      1        2
 43   -0.0001843    0     0      2        2
 44   -0.000425399  0     3      2        2
 45   +0.0000869243 3     3      2        2
 46   -0.0004659    0     6      2        2
 47   +0.0000554194 1     6      2        2
